,date,time,latitude,longitude,region name,depth,magnitude type,magnitude,eqid,hour,minute,second,datetime,has_influence_on
0,2016-11-16,22:55:54,42.83,13.11,CENTRAL ITALY,10,ML,2.5,546052,22,55,54.0,2016-11-16 22:55:54,ICV
1,2016-11-16,21:07:27,44.22,15.18,CROATIA,10,ML,3.4,546042,21,7,27.0,2016-11-16 21:07:27,ICV
2,2016-11-16,19:28:18,42.92,13.16,CENTRAL ITALY,9,ML,2.6,546012,19,28,18.0,2016-11-16 19:28:18,ICV
3,2016-11-16,18:54:08,42.72,13.29,CENTRAL ITALY,13,ML,2.5,546011,18,54,8.0,2016-11-16 18:54:08,ICV
4,2016-11-16,17:33:12,43.04,13.1,CENTRAL ITALY,10,ML,2.5,545998,17,33,12.0,2016-11-16 17:33:12,ICV
5,2016-11-16,15:04:22,43.04,13.1,CENTRAL ITALY,9,ML,3.0,545982,15,4,22.0,2016-11-16 15:04:22,ICV
6,2016-11-16,13:24:41,42.94,13.22,CENTRAL ITALY,9,ML,2.7,545943,13,24,41.0,2016-11-16 13:24:41,ICV
7,2016-11-16,11:52:22,42.8,13.13,CENTRAL ITALY,9,ML,3.9,545930,11,52,22.0,2016-11-16 11:52:22,ICV
8,2016-11-16,10:34:42,42.93,13.23,CENTRAL ITALY,8,ML,2.9,545905,10,34,42.0,2016-11-16 10:34:42,ICV
9,2016-11-16,09:41:02,43.04,13.11,CENTRAL ITALY,8,ML,3.0,545883,9,41,2.0,2016-11-16 09:41:02,ICV
10,2016-11-16,01:39:14,42.89,13.16,CENTRAL ITALY,8,ML,3.0,545820,1,39,14.0,2016-11-16 01:39:14,ICV
11,2016-11-15,22:57:52,42.75,13.21,CENTRAL ITALY,10,ML,3.3,545786,22,57,52.0,2016-11-15 22:57:52,ICV
12,2016-11-15,20:35:43,42.77,13.15,CENTRAL ITALY,10,ML,2.8,545775,20,35,43.0,2016-11-15 20:35:43,ICV
13,2016-11-15,18:30:58,43.03,13.08,CENTRAL ITALY,9,ML,3.2,545747,18,30,58.0,2016-11-15 18:30:58,ICV
14,2016-11-15,17:04:36,43.03,13.07,CENTRAL ITALY,9,ML,3.0,545728,17,4,36.0,2016-11-15 17:04:36,ICV
15,2016-11-15,14:00:52,43.01,13.09,CENTRAL ITALY,9,ML,2.7,545695,14,0,52.0,2016-11-15 14:00:52,ICV
16,2016-11-15,11:11:47,43.06,13.07,CENTRAL ITALY,9,ML,2.7,545667,11,11,47.0,2016-11-15 11:11:47,ICV
17,2016-11-15,09:27:13,52.97,9.26,GERMANY,5,ML,2.5,545664,9,27,13.0,2016-11-15 09:27:13,DHO
18,2016-11-15,09:27:13,52.97,9.26,GERMANY,5,ML,2.5,545664,9,27,13.0,2016-11-15 09:27:13,GVT
19,2016-11-15,07:55:22,42.73,13.27,CENTRAL ITALY,13,ML,2.6,545629,7,55,22.0,2016-11-15 07:55:22,ICV
