,date,time,latitude,longitude,region name,depth,magnitude type,magnitude,eqid,hour,minute,second,datetime,has_influence_on,dist_from_path
3160,2016-09-30,05:58:38,44.43,21.67,SERBIA,2,ML,2.5,534290,5,58,38.0,2016-09-30 05:58:38,ICV,111
3160,2016-09-30,05:58:38,44.43,21.67,SERBIA,2,ML,2.5,534290,5,58,38.0,2016-09-30 05:58:38,JXN,111
3160,2016-09-30,05:58:38,44.43,21.67,SERBIA,2,ML,2.5,534290,5,58,38.0,2016-09-30 05:58:38,DHO,111
3160,2016-09-30,05:58:38,44.43,21.67,SERBIA,2,ML,2.5,534290,5,58,38.0,2016-09-30 05:58:38,GVT,111
3149,2016-09-30,15:08:00,42.71,13.21,CENTRAL ITALY,11,ML,2.5,534361,15,8,0.0,2016-09-30 15:08:00,ICV,51
3144,2016-09-30,19:38:37,42.9,13.24,CENTRAL ITALY,9,ML,3.8,534393,19,38,37.0,2016-09-30 19:38:37,ICV,68
3146,2016-09-30,19:22:28,42.9,13.25,CENTRAL ITALY,9,ML,3.4,534384,19,22,28.0,2016-09-30 19:22:28,ICV,68
3141,2016-09-30,22:18:10,48.52,10.26,GERMANY,30,ML,2.0,535076,22,18,10.0,2016-09-30 22:18:10,DHO,226
3141,2016-09-30,22:18:10,48.52,10.26,GERMANY,30,ML,2.0,535076,22,18,10.0,2016-09-30 22:18:10,GVT,173
3140,2016-10-01,00:15:09,42.76,13.24,CENTRAL ITALY,10,ML,2.5,534441,0,15,9.0,2016-10-01 00:15:09,ICV,55
3134,2016-10-01,03:15:40,42.81,13.23,CENTRAL ITALY,8,ML,2.5,534491,3,15,40.0,2016-10-01 03:15:40,ICV,60
3118,2016-10-01,11:56:09,42.91,13.25,CENTRAL ITALY,10,ML,2.8,534579,11,56,9.0,2016-10-01 11:56:09,ICV,69
3113,2016-10-01,21:33:01,43.46,17.57,BOSNIA AND HERZEGOVINA,3,ML,2.5,534709,21,33,1.0,2016-10-01 21:33:01,ICV,38
3112,2016-10-01,22:42:02,41.38,13.86,SOUTHERN ITALY,10,ML,2.4,534650,22,42,2.0,2016-10-01 22:42:02,ICV,107
3108,2016-10-02,00:38:18,43.86,16.84,BOSNIA AND HERZEGOVINA,4,ML,2.2,534711,0,38,18.0,2016-10-02 00:38:18,ICV,32
3091,2016-10-02,12:16:49,43.55,13.77,CENTRAL ITALY,9,ML,2.6,534720,12,16,49.0,2016-10-02 12:16:49,ICV,113
3083,2016-10-02,15:20:08,42.81,13.24,CENTRAL ITALY,8,ML,2.6,534737,15,20,8.0,2016-10-02 15:20:08,ICV,59
3078,2016-10-02,19:41:19,42.5,19.19,MONTENEGRO,18,ML,3.9,534757,19,41,19.0,2016-10-02 19:41:19,ICV,191
3076,2016-10-02,21:25:28,42.84,13.23,CENTRAL ITALY,8,ML,2.7,534767,21,25,28.0,2016-10-02 21:25:28,ICV,63
3071,2016-10-02,23:47:07,42.79,13.23,CENTRAL ITALY,9,ML,3.4,534786,23,47,7.0,2016-10-02 23:47:07,ICV,58
3072,2016-10-02,23:00:30,42.72,13.09,CENTRAL ITALY,10,ML,2.5,534775,23,0,30.0,2016-10-02 23:00:30,ICV,56
3048,2016-10-03,16:52:00,43.22,21.39,SERBIA,5,ML,2.5,534890,16,52,0.0,2016-10-03 16:52:00,ICV,198
3048,2016-10-03,16:52:00,43.22,21.39,SERBIA,5,ML,2.5,534890,16,52,0.0,2016-10-03 16:52:00,JXN,198
3048,2016-10-03,16:52:00,43.22,21.39,SERBIA,5,ML,2.5,534890,16,52,0.0,2016-10-03 16:52:00,DHO,198
3048,2016-10-03,16:52:00,43.22,21.39,SERBIA,5,ML,2.5,534890,16,52,0.0,2016-10-03 16:52:00,GVT,198
3038,2016-10-03,21:30:15,42.83,13.22,CENTRAL ITALY,8,ML,2.6,534943,21,30,15.0,2016-10-03 21:30:15,ICV,62
